SMRS / Project ID,Director,STET SPOC,Program Manager,STET Funnel Project Title,AOS Impact  (Enter €0 if not AOS Project),QN Reduction Impact (Enter €0 if not CONQ Project),"Project Type (PRODUCTIVITY, AOS, LCM, NPI, CART PDC, TEST ENG, CONQ, IGM)","Procurement Type (PROCUREMENT, TCO, N/A)","Savings Type (TCO, CONCEPT, SOURCING, NEGO, NON_12NC, NPP, CONQ, FCP & PPV)",Commodity,BU,Cluster,Current IL,IL5 Date,%23 Parts of Dual Sourced,2019 Actual (Euro),2020 Actual (Euro),2021 Actual (Euro),2022 Funnel (Euro),2022 Actual (Euro),2023 Funnel (Euro),2023 Actual (Euro),2024 Funnel (Euro),2024 Actual (Euro),2025 Funnel (Euro),2025 Actual (Euro),2026 Funnel (Euro),2026 Actual (Euro),2027 Funnel (Euro),2027 Actual (Euro),2028 Funnel (Euro),2028 Actual (Euro),Impacted Parts Added? (YES_NO_N/A) Needs to be YES or N/A for all IL5 Projects,Are Any STET SQE Resources Applied to Project? (YES_NO_N/A),Week,Comments / Challenges,FTE STET SPOC (Text),FTE Project Title (Text),FTE Director (Text),FTE Procurement Type (Text),FTE Project Type (Text),FTE Savings Type (Text),FTE Commodity (Text),FTE BU (Text),FTE Cluster (Text),FTE Current IL (Text),Project ID_Description,ID,New,NewItemID,Created,Modified,Modified By,SourceID,Is Active
CR0111435,Phil,Charles Moses,Nitesh Girase,Southco CP Arm solenoid wire harness change,€ 0,€ 0,LCM,N/A,SOURCING,Mechanical Parts & Assemblies,US,PD,IL2,12/31/2026,0,€ 0.00,€ 0,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0,€ 0,€ 0.00,€ 0.00,€ 0,€ 0,,,N/A,NO,24,"<a href=""https://share.philips.com/sites/STET_PMO/_layouts/15/listform.aspx?PageType=4&ListId=%7BE59B70F3%2DD2C8%2D4524%2DAC63%2D41E47F0CF06C%7D&ID=4296"">View Entries</a>",Charles Moses,Southco CP Arm solenoid wire harness change,Phil,N/A,LCM,SOURCING,Mechanical Parts & Assemblies,US,PD,IL2,CR0111435=Southco CP Arm solenoid wire harness change,4296,0,,3/31/2023 3:34 AM,6/15/2026 12:01 PM,"Kumari, Supriya",Lists%252fFunnel%2bManagement%2bList%252f5295_.000,Yes
CR0111462,Phil,Charles Moses,Subramaniasiva Rengaswamy,AOS - Grayhill CP l Replace NXP Microcontroller with ST Micro,"€ 1,634,615",€ 0,AOS,N/A,SOURCING,Key Components & Electronics,US,PD,IL2,12/30/2026,0,€ 0.00,€ 0,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0,€ 0,€ 0.00,€ 0.00,€ 0,€ 0,,,N/A,NO,24,"<a href=""https://share.philips.com/sites/STET_PMO/_layouts/15/listform.aspx?PageType=4&ListId=%7BE59B70F3%2DD2C8%2D4524%2DAC63%2D41E47F0CF06C%7D&ID=4297"">View Entries</a>",Charles Moses,AOS - Grayhill CP l Replace NXP Microcontroller with ST Micro,Phil,N/A,AOS,SOURCING,Key Components & Electronics,US,PD,IL2,CR0111462=AOS - Grayhill CP l Replace NXP Microcontroller with ST Micro,4297,0,,3/31/2023 3:34 AM,6/15/2026 11:59 AM,"Kumari, Supriya",Lists%252fFunnel%2bManagement%2bList%252f5296_.000,Yes
CR0111563,Phil,Charles Moses,Subramaniasiva Rengaswamy,"EOL - Nichicon 160V and higher parts in the UPW, UPM, UPJ and UPS series","€ 2,127,308",€ 0,AOS,N/A,SOURCING,Key Components & Electronics,US,PD,IL5,10/30/2025,0,€ 0.00,€ 0,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0,€ 0,€ 0.00,€ 0.00,€ 0,€ 0,,,N/A,NO,23,"<a href=""https://share.philips.com/sites/STET_PMO/_layouts/15/listform.aspx?PageType=4&ListId=%7BE59B70F3%2DD2C8%2D4524%2DAC63%2D41E47F0CF06C%7D&ID=4298"">View Entries</a>",Charles Moses,"EOL - Nichicon 160V and higher parts in the UPW, UPM, UPJ and UPS series",Phil,N/A,AOS,SOURCING,Key Components & Electronics,US,PD,IL5,"CR0111563=EOL - Nichicon 160V and higher parts in the UPW, UPM, UPJ and UPS series",4298,0,,3/31/2023 3:34 AM,6/10/2026 5:36 AM,"Kumari, Supriya",Lists%252fFunnel%2bManagement%2bList%252f7473_.000,Yes
CR0111611,Phil,Charles Moses,Subramaniasiva Rengaswamy,"Component Op amp 12NC 453561458871 - IC,OPAMP,OPA561,FAST,1.2A,HTSSOP-20 from TI","€ 506,502",€ 0,AOS,N/A,SOURCING,Mechanical Parts & Assemblies,US,PD,IL2,12/30/2026,0,€ 0.00,€ 0,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0,€ 0,€ 0.00,€ 0.00,€ 0,€ 0,,,N/A,NO,24,"<a href=""https://share.philips.com/sites/STET_PMO/_layouts/15/listform.aspx?PageType=4&ListId=%7BE59B70F3%2DD2C8%2D4524%2DAC63%2D41E47F0CF06C%7D&ID=4300"">View Entries</a>",Charles Moses,"Component Op amp 12NC 453561458871 - IC,OPAMP,OPA561,FAST,1.2A,HTSSOP-20 from TI",Phil,N/A,AOS,SOURCING,Mechanical Parts & Assemblies,US,PD,IL2,"CR0111611=Component Op amp 12NC 453561458871 - IC,OPAMP,OPA561,FAST,1.2A,HTSSOP-20 from TI",4300,0,,3/31/2023 3:34 AM,6/15/2026 11:59 AM,"Kumari, Supriya",Lists%252fFunnel%2bManagement%2bList%252f5307_.000,Yes
CR0111614,Phil,"Steve
",Rajashekhar,"Standard Complienace gap assessment of ISO 5367: 2023 for V60/V60 Plus Ventilator product’s breathing sets, connectors.",€ 0,€ 0,LCM,N/A,TCO,Mechanical Parts & Assemblies,SRC,CC,IL5,12/31/2025,0,€ 0.00,€ 0,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0,€ 0,€ 0.00,€ 0.00,€ 0,€ 0,,,N/A,N/A,23,"<a href=""https://share.philips.com/sites/STET_PMO/_layouts/15/listform.aspx?PageType=4&ListId=%7BE59B70F3%2DD2C8%2D4524%2DAC63%2D41E47F0CF06C%7D&ID=4303"">View Entries</a>","Steve
","Standard Complienace gap assessment of ISO 5367: 2023 for V60/V60 Plus Ventilator product’s breathing sets, connectors.",Phil,N/A,LCM,TCO,Mechanical Parts & Assemblies,SRC,CC,IL5,"CR0111614=Standard Complienace gap assessment of ISO 5367: 2023 for V60/V60 Plus Ventilator product’s breathing sets, connectors.",4303,0,,3/31/2023 3:34 AM,6/10/2026 5:03 AM,"Kumari, Supriya",Lists%252fFunnel%2bManagement%2bList%252f5310_.000,Yes
CR0111709,Phil,Charles Moses,Sowmya Nayak,"FACB - IC driver clock - AOS of 12NC 453561777371 IC,DRIVER,CLOCK,MC100EP210S,QF","€ 506,502",€ 0,AOS,N/A,SOURCING,Key Components & Electronics,US,PD,IL5,12/30/2025,0,€ 0.00,€ 0,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0,€ 0,€ 0.00,€ 0.00,€ 0,€ 0,,,N/A,NO,23,"<a href=""https://share.philips.com/sites/STET_PMO/_layouts/15/listform.aspx?PageType=4&ListId=%7BE59B70F3%2DD2C8%2D4524%2DAC63%2D41E47F0CF06C%7D&ID=4305"">View Entries</a>",Charles Moses,"FACB - IC driver clock - AOS of 12NC 453561777371 IC,DRIVER,CLOCK,MC100EP210S,QF",Phil,N/A,AOS,SOURCING,Key Components & Electronics,US,PD,IL5,"CR0111709=FACB - IC driver clock - AOS of 12NC 453561777371 IC,DRIVER,CLOCK,MC100EP210S,QF",4305,0,,3/31/2023 3:34 AM,6/10/2026 5:31 AM,"Kumari, Supriya",Lists%252fFunnel%2bManagement%2bList%252f5315_.000,Yes
PD37485,Phil,Charles Moses,Sowmya Nayak,VM GH Control Panel became permanently damaged by a 15 kV ESD test,€ 0,€ 0,LCM,N/A,SOURCING,Key Components & Electronics,US,PD,IL2,12/30/2026,0,€ 0.00,€ 0,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0,€ 0,€ 0.00,€ 0.00,€ 0,€ 0,,,N/A,NO,24,"<a href=""https://share.philips.com/sites/STET_PMO/_layouts/15/listform.aspx?PageType=4&ListId=%7BE59B70F3%2DD2C8%2D4524%2DAC63%2D41E47F0CF06C%7D&ID=4308"">View Entries</a>",Charles Moses,VM GH Control Panel became permanently damaged by a 15 kV ESD test,Phil,N/A,LCM,SOURCING,Key Components & Electronics,US,PD,IL2,PD37485=VM GH Control Panel became permanently damaged by a 15 kV ESD test,4308,0,,3/31/2023 3:34 AM,6/15/2026 12:02 PM,"Kumari, Supriya",Lists%252fFunnel%2bManagement%2bList%252f6975_.000,Yes
PD37534,Phil,Charles Moses,Sowmya Nayak,REL_VM7_Affiniti_PP1_CP_3 knobs not adjusting properly,€ 0,€ 0,LCM,N/A,SOURCING,Key Components & Electronics,US,PD,IL2,12/30/2026,0,€ 0.00,€ 0,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0,€ 0,€ 0.00,€ 0.00,€ 0,€ 0,,,N/A,NO,24,"<a href=""https://share.philips.com/sites/STET_PMO/_layouts/15/listform.aspx?PageType=4&ListId=%7BE59B70F3%2DD2C8%2D4524%2DAC63%2D41E47F0CF06C%7D&ID=4309"">View Entries</a>",Charles Moses,REL_VM7_Affiniti_PP1_CP_3 knobs not adjusting properly,Phil,N/A,LCM,SOURCING,Key Components & Electronics,US,PD,IL2,PD37534=REL_VM7_Affiniti_PP1_CP_3 knobs not adjusting properly,4309,0,,3/31/2023 3:34 AM,6/15/2026 12:02 PM,"Kumari, Supriya",Lists%252fFunnel%2bManagement%2bList%252f6976_.000,Yes
PD33429,Phil,Charles Moses,Sumit Chaware,Max. Safe Working Load symbolBlue Man Reading Symbol,€ 0,€ 0,LCM,N/A,SOURCING,Mechanical Parts & Assemblies,US,PD,IL5,4/9/2025,0,€ 0.00,€ 0,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0,€ 0,€ 0.00,€ 0.00,€ 0,€ 0,,,N/A,NO,23,"<a href=""https://share.philips.com/sites/STET_PMO/_layouts/15/listform.aspx?PageType=4&ListId=%7BE59B70F3%2DD2C8%2D4524%2DAC63%2D41E47F0CF06C%7D&ID=4316"">View Entries</a>",Charles Moses,Max. Safe Working Load symbolBlue Man Reading Symbol,Phil,N/A,LCM,SOURCING,Mechanical Parts & Assemblies,US,PD,IL5,PD33429=Max. Safe Working Load symbolBlue Man Reading Symbol,4316,0,,3/31/2023 3:34 AM,6/10/2026 5:41 AM,"Kumari, Supriya",Lists%252fFunnel%2bManagement%2bList%252f6967_.000,Yes
RTC-GRO20220901263,Tim,Sushruth Rudrachary,Tukaram / Bert,Brain 32mm CE from KP to Haishun (Grooming),€ 0,€ 0,LCM,N/A,SOURCING,Mechanical Parts & Assemblies,GB,PH,IL5,1/30/2025,0,€ 0.00,€ 0,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0,€ 0,,,,,,,N/A,NO,19,"<a href=""https://share.philips.com/sites/STET_PMO/_layouts/15/listform.aspx?PageType=4&ListId=%7BE59B70F3%2DD2C8%2D4524%2DAC63%2D41E47F0CF06C%7D&ID=4335"">View Entries</a>",Sushruth Rudrachary,Brain 32mm CE from KP to Haishun (Grooming),Tim,N/A,LCM,SOURCING,Mechanical Parts & Assemblies,GB,PH,IL5,RTC-GRO20220901263=Brain 32mm CE from KP to Haishun (Grooming),4335,0,,3/31/2023 3:35 AM,5/13/2026 5:59 AM,"Kumari, Supriya",7181,Yes
