SMRS / Project ID,Director,STET SPOC,Program Manager,STET Funnel Project Title,AOS Impact  (Enter €0 if not AOS Project),AOS Impact Approved or Not,QN Reduction Impact (Enter €0 if not CONQ Project),"Project Type (PRODUCTIVITY, AOS, LCM, NPI, CART PDC, TEST ENG, CONQ, IGM)","Procurement Type (PROCUREMENT, TCO, N/A)","Savings Type (TCO, CONCEPT, SOURCING, NEGO, NON_12NC, NPP, CONQ, FCP & PPV)",Commodity,BU,Cluster,Current IL,IL5 Date,%23 of Parts Dual Sourced (PASSIVE),%23 of Parts Dual Sourced (ACTIVE),2022 Actual (Euro),2023 Funnel (Euro),2023 Actual (Euro),2024 Funnel (Euro),2024 Actual (Euro),2025 Funnel (Euro),2025 Actual (Euro),2026 Funnel (Euro),2026 Actual (Euro),2027 Funnel (Euro),2027 Actual (Euro),2028 Funnel (Euro),2028 Actual (Euro),Impacted Parts Added? (YES_NO_N/A) Needs to be YES or N/A for all IL5 Projects,Are Any STET SQE Resources Applied to Project? (YES_NO_N/A),Comments / Challenges,Week,Attachments,ID,IL Date Format column,August IL5 IDs,IL Date Correction,Year,Month,Modified,Modified By,Created,2019 Actual (Euro),2020 Actual (Euro),2021 Actual (Euro),2022 Funnel (Euro),Created By,Supplier Transfer,Transfer reason,Is Active
RfS-G&B-0658,Tim,Sushruth Rudrachary,Pooja Nambiar,RegMem AMB 554-26005 EU Packaging & Packaging Waste Regulation (PPWR),€ 0.00,Not Applicable,€ 0,LCM,N/A,CONCEPT,Personal Health,GB,PH,IL3,12/31/2026,0,0,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0,€ 0,€ 0,€ 0,N/A,N/A,"<a href=""https://share.philips.com/sites/STET_PMO/_layouts/15/listform.aspx?ListId=%7B23B2CA78%2D78E8%2D461B%2D8B8A%2D5DEB61E088EE%7D&PageType=4&ID=12470"">View Entries</a>",38,0,12470,12-2026,True,True,2026,12,9/15/2026 9:43 AM,"Davis, Adrianna",9/15/2026 1:31 AM,,,,,"Kumari, Supriya",No,N/A,Yes
RfS-G&B-0487,Tim,Sushruth Rudrachary,Pooja Nambiar,Battery Waste Management Amendment Rules,€ 0.00,Not Applicable,€ 0,LCM,N/A,CONCEPT,Personal Health,GB,PH,IL5,9/15/2026,0,0,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0,€ 0,€ 0,€ 0,N/A,N/A,"<a href=""https://share.philips.com/sites/STET_PMO/_layouts/15/listform.aspx?ListId=%7B23B2CA78%2D78E8%2D461B%2D8B8A%2D5DEB61E088EE%7D&PageType=4&ID=12469"">View Entries</a>",38,0,12469,09-2026,True,True,2026,09,9/15/2026 9:43 AM,"Davis, Adrianna",9/15/2026 1:31 AM,,,,,"Kumari, Supriya",No,N/A,Yes
RfS-G&B-0514,Tim,Sushruth Rudrachary,Pooja Nambiar,Battery Waste Management Amendment Rules,€ 0.00,Not Applicable,€ 0,LCM,N/A,CONCEPT,Personal Health,GB,PH,IL5,9/15/2026,0,0,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0,€ 0,€ 0,€ 0,N/A,N/A,"<a href=""https://share.philips.com/sites/STET_PMO/_layouts/15/listform.aspx?ListId=%7B23B2CA78%2D78E8%2D461B%2D8B8A%2D5DEB61E088EE%7D&PageType=4&ID=12468"">View Entries</a>",38,0,12468,09-2026,True,True,2026,09,9/15/2026 9:43 AM,"Davis, Adrianna",9/15/2026 1:31 AM,,,,,"Kumari, Supriya",No,N/A,Yes
RfS-G&B-0516,Tim,Sushruth Rudrachary,Pooja Nambiar,Battery Waste Management Amendment Rules,€ 0.00,Not Applicable,€ 0,LCM,N/A,CONCEPT,Personal Health,GB,PH,IL5,9/15/2026,0,0,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0,€ 0,€ 0,€ 0,N/A,N/A,"<a href=""https://share.philips.com/sites/STET_PMO/_layouts/15/listform.aspx?ListId=%7B23B2CA78%2D78E8%2D461B%2D8B8A%2D5DEB61E088EE%7D&PageType=4&ID=12467"">View Entries</a>",38,0,12467,09-2026,True,True,2026,09,9/15/2026 9:43 AM,"Davis, Adrianna",9/15/2026 1:31 AM,,,,,"Kumari, Supriya",No,N/A,Yes
RfS-G&B-0490,Tim,Sushruth Rudrachary,Pooja Nambiar,Global Warranty leaflet online,€ 0.00,Not Applicable,€ 0,LCM,N/A,CONCEPT,Personal Health,GB,PH,IL2,12/31/2027,0,0,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0,€ 0,€ 0,€ 0,N/A,N/A,"<a href=""https://share.philips.com/sites/STET_PMO/_layouts/15/listform.aspx?ListId=%7B23B2CA78%2D78E8%2D461B%2D8B8A%2D5DEB61E088EE%7D&PageType=4&ID=12466"">View Entries</a>",38,0,12466,12-2027,True,True,2027,12,9/15/2026 9:43 AM,"Davis, Adrianna",9/15/2026 1:31 AM,,,,,"Kumari, Supriya",No,N/A,Yes
RfS-G&B-0184,Tim,Sushruth Rudrachary,Anjali Nigam,Launch QP1425/10 in Argentina,€ 0.00,Not Applicable,€ 0,Commercial Innovation,IGM,Commercial Innovation,Personal Health,GB,PH,IL3,11/30/2026,0,0,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,"€ 4,749.00",€ 0.00,"€ 23,745",€ 0,€ 0,€ 0,N/A,N/A,"<a href=""https://share.philips.com/sites/STET_PMO/_layouts/15/listform.aspx?ListId=%7B23B2CA78%2D78E8%2D461B%2D8B8A%2D5DEB61E088EE%7D&PageType=4&ID=12465"">View Entries</a>",38,0,12465,11-2026,True,True,2026,11,9/15/2026 9:44 AM,"Davis, Adrianna",9/15/2026 1:00 AM,,,,,"Kumari, Supriya",No,N/A,Yes
43261,Phil,Tiger Xiao ,JJ Chen ,Transfer mC12-3 to HS Shenyang site,€ 0.00,Not Applicable,€ 0,PRODUCTIVITY,PROCUREMENT,SOURCING,Mechanical Parts & Assemblies,US-Trans,PD,IL2,4/30/2027,0,0,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0,€ 0,€ 0,€ 0,NO,NO,"<a href=""https://share.philips.com/sites/STET_PMO/_layouts/15/listform.aspx?ListId=%7B23B2CA78%2D78E8%2D461B%2D8B8A%2D5DEB61E088EE%7D&PageType=4&ID=12464"">View Entries</a>",38,0,12464,04-2027,True,True,2027,04,9/14/2026 9:31 AM,"Davis, Adrianna",9/14/2026 9:31 AM,,,,,"Davis, Adrianna",Yes,Productivity & De-risk / Localization,Yes
43260,Phil,Tiger Xiao ,JJ Chen ,Transfer V9-2 LMA to HS Shenyang site ,€ 0.00,Not Applicable,€ 0,PRODUCTIVITY,PROCUREMENT,SOURCING,Mechanical Parts & Assemblies,US-Trans,PD,IL2,4/30/2027,0,0,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0,€ 0,€ 0,€ 0,NO,NO,"<a href=""https://share.philips.com/sites/STET_PMO/_layouts/15/listform.aspx?ListId=%7B23B2CA78%2D78E8%2D461B%2D8B8A%2D5DEB61E088EE%7D&PageType=4&ID=12463"">View Entries</a>",38,0,12463,04-2027,True,True,2027,04,9/14/2026 9:30 AM,"Davis, Adrianna",9/14/2026 9:29 AM,,,,,"Davis, Adrianna",Yes,Productivity & De-risk / Localization,Yes
43259,Phil,Tiger Xiao ,JJ Chen,Transfer mL26-8 LMA to HS Shenyang site,€ 0.00,Not Applicable,€ 0,PRODUCTIVITY,PROCUREMENT,SOURCING,Mechanical Parts & Assemblies,US-Trans,PD,IL2,4/30/2027,0,0,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0,€ 0,€ 0,€ 0,NO,NO,"<a href=""https://share.philips.com/sites/STET_PMO/_layouts/15/listform.aspx?ListId=%7B23B2CA78%2D78E8%2D461B%2D8B8A%2D5DEB61E088EE%7D&PageType=4&ID=12462"">View Entries</a>",38,0,12462,04-2027,True,True,2027,04,9/14/2026 9:26 AM,"Davis, Adrianna",9/14/2026 9:26 AM,,,,,"Davis, Adrianna",Yes,Productivity & De-risk / Localization,Yes
RfS-G&B-0772,Tim,Sushruth Rudrachary,Anjali Nigam,RfS-G&B-0772-OneBlade - additional warning statement,€ 0.00,Not Applicable,€ 0,LCM,N/A,CONCEPT,Personal Health,GB,PH,IL2,7/31/2027,0,0,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0,€ 0,€ 0,€ 0,N/A,N/A,"<a href=""https://share.philips.com/sites/STET_PMO/_layouts/15/listform.aspx?ListId=%7B23B2CA78%2D78E8%2D461B%2D8B8A%2D5DEB61E088EE%7D&PageType=4&ID=12461"">View Entries</a>",37,0,12461,07-2027,True,True,2027,07,9/11/2026 8:36 AM,"Davis, Adrianna",9/11/2026 4:17 AM,,,,,"Kumari, Supriya",No,N/A,Yes
